"country","year","GDP","GDP_per_cap","total_co2","pop"
"Guinea-Bissau",2014,1109007300,642.6256154,0.2711,1725743.99996443
"Guyana",2014,3077086276,4030.802321,2.0079,763392.999941661
"Haiti",2014,8776360623,830.1148117,2.9102,10572466.0002474
"Honduras",2014,19756533658,2242.711912,9.5964,8809215.99974094
"Hungary",2014,1.39e+11,14117.97668,41.3296,9845603.4565429
"Iceland",2014,17178962757,52473.11356,2.04,327386.000019931
"India",2014,2.04e+12,1573.118089,2158.1807,1296787580.19799
"Indonesia",2014,8.91e+11,3491.595887,477.7406,255184170.458384
"Iran, Islamic Rep.",2014,4.25e+11,5424.309974,NA,78350979.5784396
"Iraq",2014,2.35e+11,6703.074737,170.9224,35058537.9427196
"Ireland",2014,2.56e+11,55503.32623,34.8566,4612336.18574791
"Israel",2014,3.09e+11,37582.84624,68.034,8221836.04793419
"Italy",2014,2.15e+12,35396.66517,330.3722,60740185.2596613
"Jamaica",2014,13897561173,4855.743789,7.584,2862086.99982955
"Japan",2014,4.85e+12,38096.21151,1217.4877,127309246.976616
"Jordan",2014,35826925775,4066.940775,26.3524,8809306.0010199
"Kazakhstan",2014,2.21e+11,12806.56511,231.8231,17256774.01409
"Kenya",2014,61445345999,1335.06458,15.131,46024250.0021984
"Kiribati",2014,186066973.1,1684.504274,0.0623,110458.000001489
"Korea, Dem. Peoples Rep.",2014,NA,NA,NA,NA
"Korea, Rep.",2014,1.41e+12,27811.36638,NA,50698695.660418
"Kuwait",2014,1.63e+11,42996.40812,88.3572,3791014.34578159
"Kyrgyz Republic",2014,7468096567,1279.769783,NA,5835499.99867437
"Lao PDR",2014,13268297522,2017.563344,NA,6576396.99960766
"Latvia",2014,31352249350,15725.01374,7.3172,1993782.00034565
"Lebanon",2014,45730945274,8161.4614,25.118,5603279.00025356
"Lesotho",2014,2520952363,1174.839214,2.4695,2145785.00015918
"Liberia",2014,2.013e+09,458.4651734,0.9343,4390736.99987176
"Libya",2014,NA,NA,57.0479,NA
"Liechtenstein",2014,6663501419,179478.5848,0.044,37127.0000062982
"Lithuania",2014,48545251796,16554.97139,10.7607,2932367.00036363
"Luxembourg",2014,66298060522,119172.7418,9.7996,556318.999803359
"Macedonia, FYR",2014,11362272838,5469.217898,7.7708,2077495.00018183
"Madagascar",2014,10673516673,452.4631926,3.0704,23589800.9994283
"Malawi",2014,6054750320,354.7253961,1.2751,17068837.9985433
"Malaysia",2014,3.38e+11,11183.96191,233.5068,30221848.2788091
"Maldives",2014,3094197810,7716.204015,1.3337,400999.999998056
"Mali",2014,14004067516,825.5729915,1.4106,16962845.999305
"Malta",2014,11188785253,26180.92599,2.34,427363.999931616
"Marshall Islands",2014,183114100,3461.645053,0.1026,52897.999996073
